# x_m, y_m, w_tr_right_m, w_tr_left_m
21921.320654775842,51752.97401706797,6.004547452967101,6.004547452967101
21921.707158562815,51757.43338265296,5.945492119856819,5.945492119856819
21922.18724471992,51761.884575725264,6.000602351229211,6.000602351229211
21922.694506129894,51766.33335381197,6.059993455123831,6.059993455123831
21923.184508681756,51770.78370504422,6.111250558457118,6.111250558457118
21923.604285990754,51775.24035595592,6.095361915081787,6.095361915081787
21924.06573599097,51779.693445611425,6.111999161740417,6.111999161740417
21924.5239392941,51784.146912185584,6.097834362069228,6.097834362069228
21924.961453812735,51788.60220311899,6.112983885133748,6.112983885133748
21925.433371019884,51793.05443409357,6.1121413114087675,6.1121413114087675
21925.900982259256,51797.506968704125,6.111335860254441,6.111335860254441
21926.369198512548,51801.959372886035,6.100452870196904,6.100452870196904
21926.778203877144,51806.416914949456,6.066914693360837,6.066914693360837
21927.227108869953,51810.87093399803,6.0649554593863115,6.0649554593863115
21927.68038506069,51815.32455210561,6.064343816146301,6.064343816146301
21928.1211001712,51819.779261586664,6.069715954445429,6.069715954445429
21928.606269017902,51824.23006094008,6.094408193481911,6.094408193481911
21929.032175166205,51828.68606221644,6.04980867275026,6.04980867275026
21929.50474524207,51833.13796641502,6.030970505385999,6.030970505385999
21929.964478779893,51837.59100678501,6.027549513955071,6.027549513955071
21930.432898849103,51842.04329653361,6.072383412364525,6.072383412364525
21930.894473325978,51846.496208437515,6.045821807183613,6.045821807183613
21931.413790687944,51850.94406198498,6.057713184837017,6.057713184837017
21931.889257336617,51855.395809190624,6.118089349804938,6.118089349804938
21932.250523585186,51859.85764729427,6.0262794788587035,6.0262794788587035
21932.710402596695,51864.31084561495,5.992992799611178,5.992992799611178
21933.191654178576,51868.762213907146,6.017539647309511,6.017539647309511
21933.588206614484,51873.22106469414,5.991094983738433,5.991094983738433
21934.05170530604,51877.67404684171,6.020766370568644,6.020766370568644
21934.464893259017,51882.13141515066,6.006506596498993,6.006506596498993
21934.773818591908,51886.59783415979,5.903574622781305,5.903574622781305
21935.19389381577,51891.05440321351,5.902742494960843,5.902742494960843
21935.643962839356,51895.50824924822,5.922716294407615,5.922716294407615
21936.041076065514,51899.96670816351,5.903927544415054,5.903927544415054
21936.42456154309,51904.42640603698,5.8590375238857275,5.8590375238857275
21936.79826616383,51908.88703354001,5.866959924091211,5.866959924091211
21937.24074742585,51913.341691752794,5.839812519420519,5.839812519420519
21937.608808206583,51917.80294485635,5.80621332660043,5.80621332660043
21937.947092758302,51922.266827436455,5.764843492466107,5.764843492466107
21938.40236039244,51926.72042988212,5.769312599393099,5.769312599393099
21938.79314295431,51931.17968369164,5.722556679985636,5.722556679985636
21939.197138857846,51935.63776384403,5.697202315264959,5.697202315264959
21939.58455660508,51940.09728846009,5.677915661531013,5.677915661531013
21939.98333169541,51944.55580574931,5.70762342824461,5.70762342824461
21940.3658593602,51949.01573945329,5.633339973835706,5.633339973835706
21940.757035671744,51953.47490581941,5.5995107356842295,5.5995107356842295
21941.09903670664,51957.93837942143,5.535788271563934,5.535788271563934
21941.521993997034,51962.39474350843,5.576410955392205,5.576410955392205
21941.911152608674,51966.854067698936,5.5766264626848905,5.5766264626848905
21942.31170387358,51971.3123877155,5.542884670713454,5.542884670713454
21942.683870262772,51975.773194923975,5.486040421722721,5.486040421722721
21943.092223538835,51980.23082370247,5.485577690622416,5.485577690622416
21943.500620069015,51984.688446358574,5.4857779853747,5.4857779853747
21943.84641096746,51989.15156299927,5.417015573993306,5.417015573993306
21944.26929864593,51993.607911508116,5.4684378674198415,5.4684378674198415
21944.61398085307,51998.07112592996,5.43810104800021,5.43810104800021
21944.95517175219,52002.534648460976,5.4154394460815185,5.4154394460815185
21945.34052887804,52006.994294549586,5.447863948263352,5.447863948263352
21945.71853214572,52011.45458835824,5.335125707829827,5.335125707829827
21946.08169096846,52015.91618842828,5.277740460379294,5.277740460379294
21946.488055068432,52020.37399648473,5.306416239126771,5.306416239126771
21946.873662817583,52024.83363078195,5.3382195493410745,5.3382195493410745
21947.226647660988,52029.296134344,5.232585773284742,5.232585773284742
21947.632917566407,52033.753960960414,5.209063404344386,5.209063404344386
21948.00291844236,52038.21497770306,5.163237697033209,5.163237697033209
21948.349321395966,52042.67807157572,5.188308515190953,5.188308515190953
21948.76015129945,52047.13551044927,5.176033240460568,5.176033240460568
21949.137518462303,52051.595893273654,5.11947393855885,5.11947393855885
21949.487192587465,52056.058712736645,5.077078404264978,5.077078404264978
21949.829375790163,52060.52219398198,5.080395541291118,5.080395541291118
21950.206125620993,52064.98264395252,5.010147361307659,5.010147361307659
21950.594693575367,52069.44206088444,4.991223271899295,4.991223271899295
21950.951917221442,52073.90423345243,4.935752869537003,4.935752869537003
21951.31544304469,52078.36585645436,4.923279229347482,4.923279229347482
21951.713269871136,52082.824473907356,4.9154660989294126,4.9154660989294126
21952.098722060335,52087.28418140963,4.9098623976189355,4.9098623976189355
21952.45584762551,52091.746376421856,4.882788307091416,4.882788307091416
21952.891851860026,52096.20166058194,4.829515149806658,4.829515149806658
21953.26152887837,52100.66276250034,4.788113717249674,4.788113717249674
21953.623994792135,52105.12449840101,4.750211537220949,4.750211537220949
21954.002743989753,52109.584810357745,4.765798346107893,4.765798346107893
21954.418313600458,52114.0419025024,4.800830908681173,4.800830908681173
21954.83338053916,52118.49904330906,4.774052723220155,4.774052723220155
21955.187362037104,52122.96152946227,4.730745083198693,4.730745083198693
21955.595288275654,52127.41930040456,4.712432245963245,4.712432245963245
21956.028162174298,52131.87489514635,4.768301693387639,4.768301693387639
21956.44639291706,52136.33177313593,4.802513934230215,4.802513934230215
21956.86824813413,52140.788337845006,4.781045663690373,4.781045663690373
21957.263842964803,52145.24719608728,4.809103743649243,4.809103743649243
21957.65754477695,52149.706219419764,4.823568616911543,4.823568616911543
21958.065275040597,52154.16401939254,4.808959654834245,4.808959654834245
21958.42817774404,52158.62572398216,4.749353946624962,4.749353946624962
21958.865072583132,52163.0809812802,4.758773671472029,4.758773671472029
21959.229671313326,52167.542531149724,4.792527759992535,4.792527759992535
21959.643886155623,52171.9997584324,4.818146774866663,4.818146774866663
21960.032951285073,52176.459169563306,4.784219819990562,4.784219819990562
21960.476818283605,52180.913810247584,4.790253761751235,4.790253761751235
21960.866480800927,52185.37315794201,4.79341835388423,4.79341835388423
21961.300377304797,52189.828654000215,4.78526171133991,4.78526171133991
21961.668199851018,52194.289882430625,4.745217161215294,4.745217161215294
21962.10505718198,52198.74510349257,4.7749540472999685,4.7749540472999685
21962.547941577974,52203.19979029297,4.732339307490401,4.732339307490401
21962.889056352367,52207.66330247861,4.749576788791806,4.749576788791806
21963.28941407029,52212.121654980685,4.75757225435122,4.75757225435122
21963.720332593042,52216.577336926945,4.816193630192663,4.816193630192663
21964.17006000057,52221.03136604523,4.751050842130248,4.751050842130248
21964.57714393197,52225.48907865891,4.808270612359513,4.808270612359513
21964.97703872328,52229.94739372603,4.821453536084701,4.821453536084701
21965.366924887207,52234.40655551413,4.755083387415445,4.755083387415445
21965.71493759351,52238.869336264295,4.7670529279641505,4.7670529279641505
21966.144106229458,52243.32502713107,4.774592348574604,4.774592348574604
21966.55028073123,52247.782691591856,4.709772868707328,4.709772868707328
21966.922331017988,52252.24330932804,4.77164242969285,4.77164242969285
21967.38421190956,52256.69607007558,4.823725433587213,4.823725433587213
21967.73265647339,52261.158730017574,4.754666691702478,4.754666691702478
21968.131438547887,52265.61699925676,4.752719564193659,4.752719564193659
21968.546966560207,52270.07382245267,4.805983141220842,4.805983141220842
21968.954119857437,52274.531416651305,4.817515752758378,4.817515752758378
21969.381883815862,52278.98726333529,4.80201749648679,4.80201749648679
21969.830437289762,52283.44137167162,4.843286694172361,4.843286694172361
21970.253651634688,52287.897819138,4.825234277803042,4.825234277803042
21970.592053462737,52292.361843741135,4.791503254100408,4.791503254100408
21971.017253649115,52296.81844990712,4.796975182361177,4.796975182361177
21971.35687381847,52301.282741838426,4.788293588385251,4.788293588385251
21971.77412827184,52305.74050186137,4.769458698005702,4.769458698005702
21972.18430014294,52310.19927586085,4.800626704071201,4.800626704071201
21972.596388737824,52314.65804180503,4.765615142788773,4.765615142788773
21972.987509307102,52319.11765956538,4.782592532416362,4.782592532416362
21973.427069249447,52323.56999280628,4.805423340673438,4.805423340673438
21973.846503134908,52328.017689271604,4.802722551569192,4.802722551569192
21974.222261785173,52332.45883839613,4.7872945045368684,4.7872945045368684
21974.609052403026,52336.884711835315,4.788001691571125,4.788001691571125
21975.010210246262,52341.29073655582,4.770478904473244,4.770478904473244
21975.43043546791,52345.67264711332,4.768649019323215,4.768649019323215
21975.845698210665,52350.038692461065,4.8198108402992625,4.8198108402992625
21976.255531797346,52354.424096792194,4.87929281797577,4.87929281797577
21976.630009323657,52358.941470493766,4.949019026720366,4.949019026720366
21977.288941343715,52363.70325405756,5.2711927212203,5.2711927212203
21979.004414973366,52368.486755723854,5.227250498572921,5.227250498572921
21982.570685061713,52372.17713554138,5.017218065927369,5.017218065927369
21987.421331976147,52373.843522798445,4.955146365958741,4.955146365958741
21992.330583921786,52374.04947555585,5.027690609378338,5.027690609378338
21996.94259592471,52373.74280795242,5.012198491662996,5.012198491662996
22001.47508454974,52373.25667479285,4.9752061293714505,4.9752061293714505
22006.197346369656,52372.954475244966,4.905253216804513,4.905253216804513
22011.19447254881,52373.54124954017,5.079222038083541,5.079222038083541
22015.899154707993,52375.8045141809,5.043307313137316,5.043307313137316
22019.42077883725,52379.685041719364,4.981317023295387,4.981317023295387
22021.53433163619,52384.33254393753,5.081992936471187,5.081992936471187
22021.95133554943,52389.252819566675,5.297293989877344,5.297293989877344
22021.05815271024,52393.947112796915,5.066422811370894,5.066422811370894
22019.889284397483,52398.31146642582,4.857651298968852,4.857651298968852
22018.796147907684,52402.54714445464,4.842400502977557,4.842400502977557
22017.63978885156,52406.756149684814,4.771950272078523,4.771950272078523
22016.521187887858,52410.99867605494,4.777295152489991,4.777295152489991
22015.346632760644,52415.26337038345,4.750918629513327,4.750918629513327
22014.18178525203,52419.560028871725,4.7640217405854,4.7640217405854
22013.023386005956,52423.87836756935,4.790449644579697,4.790449644579697
22011.90297446368,52428.21757748895,4.796792660589778,4.796792660589778
22010.783539840646,52432.560297608,4.805539596589869,4.805539596589869
22009.58417689374,52436.8806973388,4.777494976104899,4.777494976104899
22008.467862310514,52441.22038713391,4.799803002345451,4.799803002345451
22007.294719846497,52445.54343950798,4.774223223969612,4.774223223969612
22006.16714312767,52449.87887454409,4.785992561781517,4.785992561781517
22005.094509605147,52454.22998916611,4.8676850777002905,4.8676850777002905
22003.957180261066,52458.56665050651,4.862624400329938,4.862624400329938
22002.798699017185,52462.901358624404,4.8247591209010166,4.8247591209010166
22001.665222534164,52467.246731611514,4.83394323689308,4.83394323689308
22000.567163179156,52471.6057002745,4.8295822763489795,4.8295822763489795
21999.510642811707,52475.97964568123,4.850547417962942,4.850547417962942
21998.481713335088,52480.36506383684,4.866412516295291,4.866412516295291
21997.498510593286,52484.76562953797,4.838716140687661,4.838716140687661
21996.638652664737,52489.195711831635,4.876367680988067,4.876367680988067
21995.79147089632,52493.63088809489,4.851981584888253,4.851981584888253
21995.003941839987,52498.07927692006,4.799749966666861,4.799749966666861
21994.308350836553,52502.54363071085,4.775003559826303,4.775003559826303
21993.763183691117,52507.028809873205,4.797882260950219,4.797882260950219
21993.156910616475,52511.504000378336,4.750959234756759,4.750959234756759
21992.68721205678,52515.99543286918,4.698264445120097,4.698264445120097
21992.284104616854,52520.493363061236,4.718613024292236,4.718613024292236
21991.895178167244,52524.99409690481,4.711460327346551,4.711460327346551
21991.61100562632,52529.50664252275,4.701094358723318,4.701094358723318
21991.342277398187,52534.02577335232,4.630323603959839,4.630323603959839
21991.183951358456,52538.55370810283,4.648963440922086,4.648963440922086
21991.145236418495,52543.08396736739,4.7351269840644425,4.7351269840644425
21991.139791220703,52547.60560077986,4.726604800976246,4.726604800976246
21991.20902538501,52552.108608226714,4.689398021212176,4.689398021212176
21991.41468622091,52556.59106364764,4.712751631479186,4.712751631479186
21991.670815801714,52561.06265044471,4.654502274667167,4.654502274667167
21991.919857205008,52565.53167886772,4.617464493951255,4.617464493951255
21992.213466021276,52569.99988737783,4.599758559120202,4.599758559120202
21992.55084681652,52574.46852050928,4.60886670446213,4.60886670446213
21992.993919466262,52578.93430292167,4.719077080907204,4.719077080907204
21993.366919916465,52583.40192686175,4.747308522274044,4.747308522274044
21993.687337700583,52587.870834931215,4.733738682737477,4.733738682737477
21994.02474967915,52592.33893223453,4.757073621270949,4.757073621270949
21994.353712338037,52596.80719043102,4.740741640174078,4.740741640174078
21994.662530325768,52601.27605020323,4.6854418022657285,4.6854418022657285
21995.066052300062,52605.74201033682,4.735838191018966,4.735838191018966
21995.42276645691,52610.2094332698,4.738319685197962,4.738319685197962
21995.792291821264,52614.67646530612,4.734925408435521,4.734925408435521
21996.13670983407,52619.14425186264,4.705890989602571,4.705890989602571
21996.520919525334,52623.610779177994,4.734725101127083,4.734725101127083
21996.89743453598,52628.07752666554,4.696671936701917,4.696671936701917
21997.26985455625,52632.54444286648,4.733165432721744,4.733165432721744
21997.595689366666,52637.01294323487,4.676787712112723,4.676787712112723
21997.969182955505,52641.48036528135,4.670074200503049,4.670074200503049
21998.340152172146,52645.94840911422,4.658025515275996,4.658025515275996
21998.72344023497,52650.41598863361,4.642014744553684,4.642014744553684
21999.04487826816,52654.882556253026,4.628987798436543,4.628987798436543
21999.40825799896,52659.338157311766,4.659878280175727,4.659878280175727
21999.797844958604,52663.77767705334,4.656720298311606,4.656720298311606
22000.180693169357,52668.203221351265,4.670965832463098,4.670965832463098
22000.60826804053,52672.61720188623,4.726130893738292,4.726130893738292
22000.9619175695,52677.03340803814,4.6829714033513214,4.6829714033513214
22001.34359165265,52681.448824269435,4.67480107994514,4.67480107994514
22001.779979763858,52685.86168600999,4.678208845561169,4.678208845561169
22002.217285654355,52690.27928337273,4.723891867568665,4.723891867568665
22002.74682620734,52694.68915625157,4.725471516794721,4.725471516794721
22003.338139909138,52699.094511430754,4.810334199003774,4.810334199003774
22003.9669626749,52703.499382214155,4.86437083615352,4.86437083615352
22004.66992038543,52707.89638255241,4.81965531510598,4.81965531510598
22005.37703337625,52712.300255849615,4.737615023694523,4.737615023694523
22006.251505449996,52716.672684571415,4.685050884600945,4.685050884600945
22007.168660867814,52721.04050317449,4.65842113993946,4.65842113993946
22008.16981740718,52725.392223118295,4.621446443440541,4.621446443440541
22009.173738294117,52729.75006745903,4.635294586627371,4.635294586627371
22010.328764516562,52734.06947292699,4.6137176533222375,4.6137176533222375
22011.51836082709,52738.38366996821,4.7318603564961395,4.7318603564961395
22012.81419225603,52742.66816435792,4.739139623781533,4.739139623781533
22014.22314716431,52746.917250687795,4.810829208701448,4.810829208701448
22015.736894389258,52751.13053063702,4.811882415186773,4.811882415186773
22017.254082278712,52755.34529153941,4.814729488596711,4.814729488596711
22018.752301277033,52759.57286654126,4.818327625299071,4.818327625299071
22020.32932503592,52763.773976676006,4.798721003605717,4.798721003605717
22022.004100961087,52767.93813401537,4.783971005059713,4.783971005059713
22023.737594168248,52772.08069147286,4.7409092852930454,4.7409092852930454
22025.558427034124,52776.186757556075,4.752691047258239,4.752691047258239
22027.41985248011,52780.277438523364,4.808747411461474,4.808747411461474
22029.3334609504,52784.34664320321,4.8417547247176875,4.8417547247176875
22031.27602207455,52788.40629007292,4.817534253401531,4.817534253401531
22033.317987312163,52792.41748571045,4.768479761282492,4.768479761282492
22035.481105503088,52796.36425221712,4.790049522728396,4.790049522728396
22037.665639269246,52800.30157675913,4.805042204675813,4.805042204675813
22039.852079298624,52804.24245847565,4.765928509670861,4.765928509670861
22042.128025528124,52808.13315935373,4.734865267960521,4.734865267960521
22044.513117583912,52811.957702210406,4.741537254552745,4.741537254552745
22046.91955989098,52815.77122331232,4.765431837526624,4.765431837526624
22049.434652647527,52819.51368534188,4.79634233181926,4.79634233181926
22051.954570860376,52823.255197697734,4.769266738872745,4.769266738872745
22054.560205442016,52826.93780364681,4.785587446889607,4.785587446889607
22057.201412277354,52830.59642861452,4.735862512431163,4.735862512431163
